births,UNRATE,PCE,AAA,BAA,INDPRO,PSAVERT,HOUST,CIVPART,EXUSEU,BAA10YM,UMCSENT,PPIACO,BUSLOANS,TOTALSA,DSPIC96,MICH,TCU,DPSACBM027NBOG,PI,DGORDER,DSPI,JTSJOL,USEPUINDXM,TTLCONS,PMSAVE,WPSFD49207,BUSINV
-0.2912969479801099,0.21721739561421516,-0.30241561987796145,0.201741536793548,0.19252443476876235,-0.22399485139928066,0.10979008570932292,-0.03126271000493436,0.1946372653931634,-0.10446834810596961,0.09355513950546401,0.10949049847116876,-0.1518190126457022,-0.28023676787356866,-0.010192552553533352,-0.11746850739321735,0.04413363973228568,-0.13697305178631125,-0.2589929353018814,-0.17415462694028827,-0.1220915806535463,-0.16454774816482898,-0.1553668874760764,0.08432314772859795,-0.09556835055195945,0.10400222156874694,-0.16679672020109493,-0.22639165839633119
-0.09587607550874089,0.07548400022520807,-0.2826436761807084,0.13138632184723564,0.1408053607072599,-0.2200439546732894,0.10044154739222744,-0.006252862118612701,0.1056344137844164,-0.11568923339850723,0.11555337090079654,0.07708123738212724,-0.13239280487860483,-0.26332365012054165,-0.054450709842817135,-0.03297985235316725,-0.0760455351965098,-0.13348672234880565,-0.24739032266064848,-0.15451253470826148,-0.17098635397954687,-0.14077746257963164,-0.2889696323891574,0.07205346128111945,-0.07729813267784658,0.0987261609620842,-0.15408546803676282,-0.1948111357058238
-0.10800229005861733,0.07548400022520807,-0.23594398462572075,-0.008390092663244308,0.04183899786131562,-0.21540888280423232,0.04862133728192486,-0.12424721431482716,-0.12958923414105467,-0.11079872138293217,0.10127387356251616,0.002263706150181455,-0.14227941722238846,-0.24952934054076847,0.14698149139360006,-0.01755226203872612,-0.0760455351965098,-0.1299457988587538,-0.22162607102330623,-0.1390612638435188,-0.0944270298722455,-0.12256209063484735,-0.15088288162689079,0.16189845543471737,-0.0811278215100582,0.045375175380251154,-0.14746315351946826,-0.1947976476768556
-0.10958404811499345,0.21721739561421516,-0.1923959182572944,0.0,0.0041631400267887475,-0.15431106210468248,0.03738418224031281,0.049545453181123245,-0.015953817476550947,-0.06628328861234051,0.08955325351752585,-0.10741541016765943,-0.05921673142024608,-0.24017824621684875,0.050536868185282025,0.003152444973165691,0.10631599384648727,-0.07559526420584561,-0.20614185599109586,-0.11289792822006878,-0.14886240486986269,-0.08379265437775574,-0.06768885231590366,0.1864601782260571,-0.07201343558908568,0.03258132704692562,-0.05633872790128769,-0.166639348296864
0.10992879087006113,0.07548400022520807,-0.15077003476715156,0.04106115768185459,-0.0022414258520399577,-0.13866696194586436,-0.021466053244316274,-0.1902396831749381,0.1056344137844164,0.014300425300991293,0.0447085687847526,-0.060657200825064206,-0.003945427756184672,-0.20675143861462486,0.005555334652559085,-0.07611807243902924,-0.0760455351965098,-0.06415175686490487,-0.13685009480354737,-0.10363890585618696,-0.020004618811125363,-0.07363978421599682,-0.3098376976822842,0.13606358033159593,-0.053408834896405855,-0.0147856380578546,-0.01868194551454444,-0.11097126311720751
-0.1188643853393514,0.07548400022520807,-0.09143643255890738,0.0,-0.03433313717782077,-0.0789920229676988,0.21063537038034919,0.014658973999356895,-0.015953817476550947,0.07445513188344677,-0.0013812692464550413,0.12472712701402144,-0.05140348295748848,-0.16883094196809878,0.19446575848302927,0.23179039237658428,0.04413363973228568,-0.014899443461202644,-0.08965179457055972,0.08186297076024307,-0.0010918663540321338,0.17530013550970858,0.02297942831880695,0.004351890255028246,-0.01537682547222402,0.21997930915380648,-0.04804407950578227,-0.09786091852279244
-0.0011207262739886814,-0.08202711492931092,-0.1026939162491699,-0.09051012720757512,-0.11271265068656722,-0.03893009440657497,-0.06931652508098962,0.1262995765007966,-0.12958923414105467,0.03396653319261089,-0.06503437447664029,0.06005161208786092,-0.02375965517904749,-0.09963911164659878,-0.12482547387770904,-0.07858820672528011,-0.018930165203361438,0.014899443461202644,-0.08067736434528178,-0.05513818211767291,0.022338134458696257,-0.0595510097167436,-0.1616974087691182,-0.026155101336601816,0.00738756211153091,-0.0647371925395232,-0.027103306251282377,-0.04866428588395211
0.035772783952052745,0.07548400022520807,-0.04343881011929046,-0.19022042909995646,-0.19951288281027896,0.021533644998513513,-0.11493417567453645,0.17799737842208896,-0.015953817476550947,0.016842281717186935,-0.13534128910676524,-0.0022637061501813993,0.003945427756184672,-0.0505990656185335,-0.12553648995135125,-0.06640483740859021,-0.018930165203361438,0.05988587514809196,-0.06454996546133207,-0.03457905776077985,0.050393990750891016,-0.03309479107643448,-0.05216469711145988,-0.13253076463990343,0.06087185189528155,-0.10333937530373288,0.006550663109098798,-0.007993711854235308
0.001120726273988737,-0.18088479938721658,-0.0032165091762962894,-0.058531267756896765,-0.08994542007684292,0.0076466475194255645,-0.09256099191914441,-0.15237651879967096,-0.015953817476550947,0.04331125317770268,-0.1681981203239742,-0.06941598405918681,0.08230989115222398,0.013352829687947265,0.020731064991652004,0.04291894042284272,0.16103541975733582,0.04094090196497391,-0.01678985492115348,0.0007478689202022881,-0.12588123146653712,0.02058667166100825,0.002859319887772105,-0.1401788266317554,0.07287507370059565,-0.08263446044742062,0.047651552481764003,0.02845418258969623
0.027449570273348933,-0.18088479938721658,0.06832947175467063,-0.11303908454710443,-0.09577803026277748,0.022364099739663468,-0.1361784955050891,0.036816717549704725,0.1946372653931634,0.005639877112292635,-0.10926614064731999,-0.23262138375022878,0.12364174387081395,0.06682005488559395,0.11764235194197104,0.12726876335196247,0.20462834650700923,0.04553185566265783,0.04475300864233889,0.03435564328884111,0.02183771324836914,0.06608651820628042,0.07588357300053616,-0.02082958475109037,0.09467308924796836,-0.11948419781097258,0.06732137241350455,0.05347463338639591
