DATE,births,UNRATE,PCE,AAA,BAA,INDPRO,PSAVERT,HOUST,CIVPART,EXUSEU,BAA10YM,UMCSENT,PPIACO,BUSLOANS,TOTALSA,DSPIC96,MICH,TCU,DPSACBM027NBOG,PI,DGORDER,DSPI,JTSJOL,USEPUINDXM,TTLCONS,PMSAVE,WPSFD49207,BUSINV
7/1/04,-0.466112142,0.199074012,-0.227238284,0.215357792,0.101465753,-0.252504239,0.366739737,0.077252627,0,-0.101116858,0.134963806,0.147848407,-0.201680433,-0.164182556,0.091081497,-0.158675636,-0.098706326,-0.45496365,-0.176673208,-0.184352042,-0.256477058,-0.185166526,-0.17050664,0.078804351,-0.322444149,0.226052009,-0.203496213,-0.19527946
8/1/04,-0.261719627,0.168139885,-0.220976229,0.115117739,0.029608478,-0.249767369,0.350140702,0.083378859,-0.191462461,-0.111258664,0.161003963,0.135850662,-0.195568074,-0.161287249,0.05853966,-0.150253276,-0.191462461,-0.451008115,-0.17315485,-0.178725672,-0.276130155,-0.180067663,-0.248894157,0.065817595,-0.307760768,0.21460746,-0.197506165,-0.185067571
9/1/04,-0.272938421,0.168139885,-0.208321511,-0.006486581,-0.056798497,-0.246617751,0.247507462,0.050037874,-0.433192799,-0.10680516,0.143720349,0.109922276,-0.19863123,-0.159048086,0.205269573,-0.148805752,-0.191462461,-0.44681915,-0.165997907,-0.174539322,-0.245944486,-0.176385772,-0.168372219,0.175027909,-0.310854809,0.099559871,-0.194490938,-0.185063517
10/1/04,-0.274401754,0.199074012,-0.198180986,0,-0.083723568,-0.209584655,0.223273081,0.096673167,-0.341344746,-0.068096084,0.13055866,0.0709192,-0.174803529,-0.157582905,0.133956141,-0.146863232,-0.049738225,-0.361867236,-0.162034801,-0.167800453,-0.267015596,-0.168970258,-0.130346954,0.215688158,-0.303474719,0.072288987,-0.15732461,-0.177029434
11/1/04,-0.040753282,0.168139885,-0.189337469,0.032398636,-0.088176654,-0.201017505,0.087929552,0.015203594,-0.191462461,0.000280451,0.085651989,0.08819005,-0.159933154,-0.152622918,0.102294105,-0.154392503,-0.191462461,-0.339333137,-0.146227012,-0.165494616,-0.218056478,-0.167089164,-0.267020656,0.139175875,-0.288207033,-0.027253526,-0.142958972,-0.162898841
12/1/04,-0.282993181,0.168139885,-0.177459726,0,-0.110261248,-0.170034881,0.489170527,0.088376281,-0.341344746,0.057432948,0.044235881,0.153793412,-0.172695464,-0.147375245,0.246546412,-0.041835707,-0.098706326,-0.225790441,-0.136439646,-0.118695534,-0.210806191,-0.108134219,-0.088056902,-0.00184607,-0.255821422,0.460032482,-0.154150971,-0.159781884
1/1/05,-0.171104402,0.136014602,-0.179677853,-0.070976886,-0.165882429,-0.149867193,-0.029524278,0.116402371,-0.433192799,0.017942843,-0.011663317,0.129800609,-0.16527413,-0.138340157,0.000327002,-0.154637017,-0.146169767,-0.145168364,-0.134616547,-0.153794659,-0.201580801,-0.164502055,-0.173546186,-0.031823072,-0.235395172,-0.129570639,-0.146169767,-0.148430839
2/1/05,-0.132321585,0.168139885,-0.168027478,-0.169678068,-0.244455468,-0.118806629,-0.144446726,0.133423133,-0.341344746,0.002524047,-0.081088287,0.108380448,-0.157787669,-0.132033953,-0.000327002,-0.153441004,-0.146169767,-0.008821528,-0.131351362,-0.148906966,-0.190019364,-0.159674349,-0.123338848,-0.150253644,-0.182752038,-0.206553219,-0.13326648,-0.139148871
3/1/05,-0.168830026,0.102903452,-0.159974363,-0.045310209,-0.149087155,-0.126097986,-0.087929552,0.038455875,-0.341344746,0.026623102,-0.121697286,0.085061545,-0.134963806,-0.123500471,0.113004508,-0.143049211,0,-0.06819976,-0.121624216,-0.140397056,-0.257943788,-0.14968587,-0.09785207,-0.160737965,-0.169719397,-0.165508189,-0.116924693,-0.130626493
4/1/05,-0.141348508,0.102903452,-0.14456917,-0.090037825,-0.153314945,-0.11836629,-0.197951729,0.093635814,0,-0.007291333,-0.05349755,0.007209408,-0.120584991,-0.115681395,0.182460441,-0.133632438,0.049738225,-0.05405629,-0.108385473,-0.131937137,-0.201781369,-0.140502014,-0.060024255,-0.026553975,-0.144495721,-0.238117702,-0.108672996,-0.124524918
5/1/05,-0.147335206,0.069033099,-0.144916014,-0.198581534,-0.170031446,-0.112330097,-0.058887074,0.083656855,0,-0.041710989,0.020987272,-0.005607438,-0.128349601,-0.109451527,0.113213687,-0.119932199,0,-0.050983101,-0.109442168,-0.124703421,-0.112676947,-0.13241176,-0.175667048,-0.059462299,-0.109949134,-0.134502068,-0.113630145,-0.122937137
6/1/05,-0.0697458,0.034646964,-0.128281998,-0.296523696,-0.229542054,-0.09442655,-0.247507462,0.095569339,0,-0.116100391,0.016326411,0.137357968,-0.128349601,-0.105468208,0.308207947,-0.113291991,0,0.008821528,-0.096766418,-0.119977696,-0.085560479,-0.127962693,-0.091981923,-0.026591751,-0.073854917,-0.267843433,-0.113630145,-0.123352155
7/1/05,-0.104358625,0.034646964,-0.106397955,-0.247507462,-0.19447367,-0.109257342,-0.366739737,0.091700002,0,-0.131310081,-0.025645266,0.144862188,-0.106037409,-0.0963904,0.48985761,-0.112501922,-0.098706326,-0.094463807,-0.096328403,-0.11276743,-0.20444021,-0.12063773,-0.027670447,-0.073876205,-0.035218058,-0.374351163,-0.095369427,-0.129507262
8/1/05,-0.119828513,0,-0.105786637,-0.231674815,-0.190455843,-0.096396023,-0.29241084,0.103004983,0.191462461,-0.09717657,-0.058117786,0.029613043,-0.091340327,-0.092485632,0.114050076,-0.108601257,-0.049738225,-0.062111085,-0.081917847,-0.104849714,-0.126709421,-0.111952136,-0.06565963,-0.108196372,-0.005532665,-0.302932531,-0.07352071,-0.124445904
9/1/05,-0.332842782,0.034646964,-0.094484849,-0.209815405,-0.161713041,-0.181137959,-0.29241084,0.118305385,0,-0.105452819,0.002332982,-0.161171562,-0.03843478,-0.089314944,0.008610381,-0.119005769,0.415434278,-0.406846027,-0.073118864,-0.095420313,-0.133275713,-0.101706702,0.00453143,0.109425949,0.051278687,-0.29799423,-0.030921393,-0.116017405
10/1/05,0.201435519,0.034646964,-0.085795827,-0.077351261,-0.043228788,-0.125692529,-0.197951729,0.094740968,0,-0.133825876,0.006998628,-0.199894249,0.008164915,-0.080806503,-0.301729275,-0.096578249,0.459940843,-0.251178132,-0.068741236,-0.082231818,-0.086518141,-0.086771004,-0.051715122,-0.013534281,0.087330003,-0.217268617,-0.001719573,-0.106545232
11/1/05,0.101775942,0.034646964,-0.083253395,-0.032398636,-0.002279658,-0.078498284,-0.058887074,0.117218295,-0.191462461,-0.164181205,0.011663317,-0.089752216,-0.020987272,-0.075658652,-0.078725425,-0.070589516,0.049738225,-0.06754305,-0.059559175,-0.07284491,0.002047624,-0.076185508,-0.030348689,-0.045648526,0.11946367,-0.109889763,-0.032635512,-0.096106986
12/1/05,0.191825193,0,-0.076592686,-0.064583947,-0.034153227,-0.048711619,-0.029524278,0.075020184,-0.191462461,-0.154903817,0.011663317,0.067763379,-0.029136496,-0.067086248,0.062203152,-0.053832525,-0.049738225,0.045317113,-0.045799825,-0.064588483,0.008358838,-0.067042189,-0.018958142,0.00184607,0.154426444,-0.066634244,-0.017190465,-0.081270321
1/1/06,0.012235771,-0.069033099,-0.057157006,-0.115117739,-0.07030191,-0.042977056,0.144446726,0.150976692,-0.191462461,-0.119987575,-0.002332982,0.063021592,-0.013995103,-0.059052992,0.242859338,-0.021232977,-0.098706326,0.041976402,-0.042467019,-0.038355863,-0.089420149,-0.040653275,0.019628694,0.011035848,0.183856985,0.08125419,-0.001719573,-0.071176916
2/1/06,0.136439642,-0.034646964,-0.050594759,-0.077351261,-0.056798497,-0.042774489,0.144446726,0.109583244,0,-0.144616437,-0.058117786,-0.008811262,-0.043076375,-0.052897479,0.039936293,-0.009687037,-0.098706326,0.012007452,-0.037968972,-0.030597469,-0.006150894,-0.033439954,-0.00453143,-0.041779784,0.209715945,0.095762754,-0.032635512,-0.066802005
3/1/06,0.092076996,-0.069033099,-0.043649313,0.038859543,0.006838676,-0.032720079,0.144446726,0.068028594,0.191462461,-0.13303203,-0.062730127,0.0264166,-0.03843478,-0.046373772,0.015800957,-0.003660509,-0.098706326,0.028412834,-0.025647417,-0.023871534,0.055060661,-0.027055309,0.1297116,-0.109504297,0.208522665,0.09854821,-0.022342831,-0.052020135
4/1/06,0.100768971,-0.069033099,-0.032182904,0.226288446,0.127679733,-0.013049475,0.058887074,0.026273932,0,-0.100166681,-0.062730127,0.002403252,-0.013995103,-0.035949897,0.052062634,-0.005277522,0.049738225,0.088483797,-0.007114179,-0.016517466,-0.048164499,-0.020225211,0.147986694,0.015816126,0.177649462,0.035059582,0,-0.042824922
5/1/06,0.086277691,-0.102903452,-0.023395908,0.282448099,0.157523728,-0.018008328,0,0.060453737,0,-0.031937283,-0.085651989,-0.128282997,0.003499449,-0.024263951,-0.034510045,-0.006688662,0.341344746,0.030550968,-0.0088003,-0.013438519,-0.038384166,-0.01649707,0.041714451,-0.056813283,0.143176158,-0.01630811,0,-0.025841596
6/1/06,0.035266584,-0.102903452,-0.017786073,0.25267346,0.170031446,0.000919277,0.058887074,0.020882693,0.191462461,-0.04672804,-0.071928669,-0.03759536,0.006998628,-0.014241142,0.002724994,0.001337793,0.049738225,0.081575697,-0.003133922,-0.005950028,0.006060265,-0.007628404,0.091655184,0.013637359,0.119570874,0.041554466,0.013753905,-0.011668407
7/1/06,0.054974753,-0.069033099,8.74E-05,0.231674815,0.161713041,-0.000895022,-0.116498093,0.002416095,0,-0.043941659,-0.071928669,-0.040784233,0.015160822,-0.006613624,0.163934097,-0.001337793,0,0.032197313,-0.002629194,-0.002162431,-0.089789586,-0.00263441,0.018622846,0.022342653,0.078933561,-0.110140777,0.006877974,-0.005796415
8/1/06,0.057849309,-0.069033099,-8.74E-05,0.133622629,0.088176654,0.018541385,-0.029524278,-0.022301851,0.191462461,-0.025923495,-0.05349755,-0.083495254,0.027972988,0.007323449,-0.092778994,-0.002308051,0.273372648,0.078254121,0.002629194,0.002162431,-0.081910315,0.00263441,0.122699687,-0.041155052,0.043853449,-0.049851523,0.025775722,0.005796415
9/1/06,-0.029388793,-0.136014602,0.007103298,0.025929183,0.015953437,0.008481457,-0.058887074,-0.002416095,0,-0.038222964,-0.05349755,-0.029613043,-0.001166496,0.006613624,0.018850088,0.01861946,-0.049738225,-0.017016413,0.014272221,0.008762132,0.115481702,0.009402579,0.131299318,-0.087055421,0.01393638,-0.054509295,-0.006877974,0.011855002
10/1/06,-0.094201349,-0.168139885,0.011145852,0.025929183,0.0113968,0.005648882,-0.058887074,-0.067188125,0.191462461,-0.052849798,-0.062730127,0.100646205,-0.03843478,0.013135901,-0.004904904,0.035602646,-0.049738225,-0.080951564,0.035362001,0.014328396,-0.02908189,0.014376482,0.084123051,-0.115495385,-0.023982853,-0.047260859,-0.032635512,0.017767575
11/1/06,-0.154141142,-0.136014602,0.012675191,-0.090037825,-0.088176654,0.000895022,0.058887074,-0.044957749,0.341344746,-0.01500062,-0.103785559,0.077217064,-0.010497269,0.018714861,-0.050116735,0.048467111,-0.098706326,-0.153057112,0.047275443,0.02284155,0.035586426,0.022253036,0.101753363,-0.122856553,-0.027418026,0.039477226,-0.010316323,0.024151184
12/1/06,0.324730628,-0.168139885,0.032052184,-0.09634681,-0.079259709,0.052186038,0,-0.02258565,0.433192799,0.02942069,-0.076513646,0.0709192,0.001166496,0.026798083,0.047736782,0.061193708,-0.146169767,0.029135271,0.061669909,0.037047312,0.071778068,0.036210133,0.093614652,-0.11623028,0.012911649,-0.00508941,0.008597228,0.025629184
1/1/07,-0.109435995,-0.102903452,0.042345491,-0.045310209,-0.025059869,0.026319761,-0.029524278,-0.09003895,0.433192799,-0.000280451,-0.112771436,0.150825536,-0.01749186,0.033126715,0.001853004,0.06430073,-0.098706326,-0.143788739,0.0640135,0.047377009,0.008787218,0.044618694,0.139518816,0.009765988,0.020324579,-0.01735119,0.005158593,0.030406025
2/1/07,0.031515337,-0.136014602,0.04896823,-0.051748948,-0.052281856,0.075989847,0.087929552,-0.070268331,0.341344746,0.011917416,-0.121697286,0.064603229,0.015160822,0.04120461,0.061126193,0.076918147,-0.098706326,0.031821878,0.06811873,0.060484379,0.019673189,0.057663708,0.119178337,-0.163394729,0.023614162,0.095762754,0.036061903,0.037467118
