births,UNRATE,PCE,AAA,BAA,INDPRO,PSAVERT,HOUST,CIVPART,EXUSEU,BAA10YM,UMCSENT,INTDSRUSM193N,PPIACO,BUSLOANS,TOTALSA,DSPIC96,MICH,TCU,DPSACBM027NBOG,PI,DGORDER,DSPI,JTSJOL,USEPUINDXM,TTLCONS,PMSAVE,WPSFD49207,BUSINV
-0.010405157680020483,-0.004197157352756331,-0.0005066074092756612,-3.174682738915635e-13,-2.5447771635489502e-06,0.0,-0.028770420724835377,-0.014554933968957129,0.0,-3.3612800932614206e-06,-0.0003888026433727654,-0.0008465789983385652,-0.2031948213520488,-0.0007402108962908382,-0.04470441853436585,-1.1796119636642288e-13,-5.1644961640562315e-09,-0.001596505820676719,0.0,-0.008469202955336097,-0.001285761125046636,-0.014080237570078091,-0.0005099254377564089,-0.024207163473012494,-0.018293621243847646,-0.0032337060691683406,-0.04437737136302061,-1.7941585223057999e-07,-0.00043594954879244696
-0.003265455172585696,-0.004720833991240292,-0.0004851527541868683,-1.3924417174848713e-12,-4.143326669370229e-06,0.0,-0.030559088862003037,-0.013877801853843963,0.0,-3.7940068662312143e-06,-0.00028474985332826996,-0.0009150263730866581,-0.19810722060115,-0.0007115669336190122,-0.04409963027882835,-1.87960758069039e-13,-4.699593325607765e-09,-0.002728389287028843,0.0,-0.008304995641052748,-0.0012373107716034393,-0.015136188261436867,-0.0004918998241597583,-0.030794167253539173,-0.01966055267967798,-0.003070663576932975,-0.04558990660380302,-1.674688916986078e-07,-0.00039845088375140003
-0.003402178651069676,-0.004720833991240292,-0.00044495262615035225,-6.914191441609319e-12,-7.2877273954441435e-06,0.0,-0.04083397674105643,-0.017875711336146516,0.0,-3.597438294811184e-06,-0.00035075402249273857,-0.0010774615954582956,-0.19305472880750546,-0.000725759942062143,-0.04363744736745728,-2.0095036745715333e-14,-4.624287952559314e-09,-0.002728389287028843,0.0,-0.007981461975685278,-0.0012025584734130512,-0.013557962578960525,-0.00047932114302229323,-0.024054392948432146,-0.010166642864992026,-0.0031037503336533434,-0.05798795247976718,-1.6178663020394168e-07,-0.0003984367072070727
-0.0034206626643258353,-0.004197157352756331,-0.00041550230222231477,-6.363298776790316e-12,-8.682645536828293e-06,0.0,-0.04317051035468722,-0.012491209060884856,0.0,-2.2672881073160234e-06,-0.00040922001649873474,-0.0013640535550541455,-0.19305472880750546,-0.0006232422340726185,-0.043337605503914634,-6.250555628639631e-14,-4.5252410707519175e-09,-0.0012074113139849407,0.0,-0.0078081386311790735,-0.0011488286437548734,-0.014632427555444805,-0.00045504552464792347,-0.021513671603602957,-0.0076308669237734605,-0.0030258700666508376,-0.06104443904371887,-1.0655610210852373e-07,-0.00037137655045604845
-0.0016060908424642695,-0.004720833991240292,-0.0003916259236176889,-4.1920911186821286e-12,-8.938489850618403e-06,0.0,-0.056366496251126885,-0.022953596904396023,0.0,-9.9637891454174e-07,-0.0006749490158150517,-0.001230398822081702,-0.1880405770945135,-0.0005675117984951239,-0.04233748805474424,-1.0019762797242038e-13,-4.9222277920257795e-09,-0.002728389287028843,0.0,-0.007155478527370529,-0.0011310460548278889,-0.012299482772332504,-0.00044910351409049865,-0.032662935824098516,-0.012815913237285093,-0.0028753483042567862,-0.07290413301155019,-9.096380143569505e-08,-0.0003284231599379184
-0.0035324307137922784,-0.004720833991240292,-0.0003619578137297186,-6.363298776790316e-12,-1.0328753456301243e-05,0.0,-0.00983515952412789,-0.013343496789744558,0.0,-4.905602553062494e-07,-0.0010403140503778552,-0.0008141336362027518,-0.18306791918691423,-0.0006149854999978888,-0.04130387705282551,-9.71445146547012e-15,-1.4424181848937678e-09,-0.001596505820676719,0.0,-0.0067802405446242275,-0.0008268135874142102,-0.011998414989382866,-0.0002992424780293157,-0.019031599401391985,-0.028063488694125893,-0.002595282550629241,-0.015953026063949993,-1.0288271484748535e-07,-0.0003196765005077373
-0.0024037774402221324,-0.005300781565376833,-0.00036730116936384283,-1.5734802349953725e-11,-1.4966819461670333e-05,0.0,-0.06882822163049074,-0.010630313486839571,0.0,-8.027150759648549e-07,-0.00180476082277653,-0.0009511039636586616,-0.18306791918691423,-0.0005868689595747711,-0.039581193243791335,-4.2327252813834093e-13,-4.935726383159533e-09,-0.002094996860253384,0.0,-0.006712626699734325,-0.00104526667140592,-0.01162919612269292,-0.0004410689375717869,-0.0244267520663895,-0.03257832854325127,-0.002440709233905547,-0.08688324784674972,-9.422591185082041e-08,-0.00028983693057366144
-0.002126763154584488,-0.004720833991240292,-0.0003401824574162382,-5.6898208367073266e-11,-2.611411620090376e-05,0.0,-0.08304939034709358,-0.009199800041082673,0.0,-9.695087766492527e-07,-0.003447510187342795,-0.0010877853134585447,-0.17813982550156993,-0.0005599340685260024,-0.03841985633510925,-4.27158308724529e-13,-4.870073178064871e-09,-0.002094996860253384,0.0,-0.006593259134284879,-0.0010115163582018472,-0.01118694206608617,-0.0004264900754564205,-0.021079452855419067,-0.056904925975780396,-0.002100855893789333,-0.0993852213177353,-8.181830352116393e-08,-0.00026760242393447653
-0.002386339175074914,-0.005941833815348074,-0.0003227339102382931,-1.1344147843317387e-11,-1.336280035973969e-05,0.0,-0.07571694425257436,-0.019454826522084467,0.0,-7.212200971995486e-07,-0.004973272699027975,-0.0012537814663409752,-0.17325927751681586,-0.0004857812141939033,-0.03689973501990851,-8.554268404736831e-14,-4.337261938491821e-09,-0.0009062035963015025,0.0,-0.006250369557779301,-0.0009554809966095257,-0.014155251742661412,-0.0003979512801730034,-0.019578342470597976,-0.059696996085472354,-0.0020271565330388097,-0.09244724381467945,-6.851366635141076e-08,-0.0002487429058752877
-0.002187605954309335,-0.005941833815348074,-0.00029201792884486766,-2.0079993223731663e-11,-1.3747796867469297e-05,0.0,-0.09082553522172454,-0.012798258920162897,0.0,-1.0924351668828436e-06,-0.0026758282177762327,-0.0019676224763579553,-0.17325927751681586,-0.0004445126495541962,-0.035556657343188525,-2.930988785010413e-14,-3.907656198620657e-09,-0.0006749490158150517,0.0,-0.005812507356296792,-0.0009030040444830689,-0.011637064743829528,-0.0003735112451945799,-0.017549824734653496,-0.03174502645135896,-0.0018939950022872631,-0.10525486664184291,-6.267063684672891e-08,-0.00023608542668090982
